state,border,num.border,order,region
Alabama,"Mississippi, Tennessee, Florida, Georgia",4,1,6
Alaska,Washington,1,2,9
Arizona,"Nevada, New Mexico, Utah, California, Colorado",5,3,8
Arkansas,"Oklahoma, Tennessee, Texas, Louisiana, Mississippi, Missouri",6,4,7
California,"Oregon, Arizona, Nevada",3,5,9
Colorado,"New Mexico, Oklahoma, Utah, Wyoming, Arizona, Kansas, Nebraska",7,6,8
Connecticut,"New York, Rhode Island, Massachusetts",3,7,1
Delaware,"New Jersey, Pennsylvania, Maryland",3,8,1
District of Columbia,"Virginia, Maryland",2,9,5
Florida,"Georgia, Alabama",2,10,5
Georgia,"North Carolina, South Carolina, Tennessee, Alabama, Florida",5,11,5
Hawaii,California,1,12,9
Idaho,"Utah, Washington, Wyoming, Montana, Nevada, Oregon",6,13,8
Illinois,"Kentucky, Missouri, Wisconsin, Indiana, Iowa, Michigan (water border only)",6,14,3
Indiana,"Michigan, Ohio, Illinois, Kentucky",4,15,3
Iowa,"Nebraska, South Dakota, Wisconsin, Illinois, Minnesota, Missouri",6,16,5
Kansas,"Nebraska, Oklahoma, 	Colorado, Missouri",4,17,4
Kentucky,"Tennessee, Virginia, West Virginia, Illinois, Indiana, Missouri, Ohio",7,18,6
Louisiana,"Texas, Arkansas, Mississippi",3,19,7
Maine,New Hampshire,1,20,1
Maryland,"Virginia, West Virginia, Delaware, Pennsylvania",4,21,1
Massachusetts,"New York, Rhode Island, Vermont, Connecticut, New Hampshire",5,22,1
Michigan,"Ohio, Wisconsin, Illinois, Indiana, Minnesota (water border)",5,23,6
Minnesota,"North Dakota, South Dakota, Wisconsin, 	Iowa, Michigan (water border)",5,24,4
Mississippi,"Louisiana, Tennessee, 	Alabama, Arkansas",4,25,6
Missouri,"Nebraska, Oklahoma, Tennessee, 	Arkansas, Illinois, Iowa, Kansas, Kentucky",8,26,4
Montana,"South Dakota, Wyoming, Idaho, North Dakota",4,27,8
Nebraska,"Missouri, South Dakota, Wyoming, Colorado, Iowa, Kansas,",6,28,4
Nevada,"Idaho, Oregon, Utah, Arizona, California",5,29,8
New Hampshire,"Vermont, Maine, Massachusetts",3,30,1
New Jersey,"Pennsylvania, Delaware, New York",3,31,1
New Mexico,"Oklahoma, Texas, Utah, Arizona, Colorado",5,32,8
New York,"Pennsylvania, Rhode Island (water border), Vermont, 	Connecticut, Massachusetts, New Jersey",6,33,1
North Carolina,"Tennessee, Virginia, Georgia, South Carolina",4,34,5
North Dakota,"South Dakota, Minnesota, Montana",3,35,4
Ohio,"Michigan, Pennsylvania, West Virginia, Indiana, Kentucky",5,36,3
Oklahoma,"Missouri, New Mexico, Texas, 	Arkansas, Colorado, Kansas",6,37,7
Oregon,"Nevada, Washington, California, Idaho",4,38,9
Pennsylvania,"New York, Ohio, West Virginia, Delaware, Maryland, New Jersey",6,39,1
Puerto Rico,Florida,1,40,5
Rhode Island,"Massachusetts, New York (water border), Connecticut",3,41,1
South Carolina,"North Carolina, Georgia,",2,42,5
South Dakota,"Nebraska, North Dakota, Wyoming, Iowa, Minnesota, Montana",6,43,4
Tennessee,"Mississippi, Missouri, North Carolina, Virginia, Alabama, Arkansas, Georgia, Kentucky",8,44,6
Texas,"New Mexico, Oklahoma, 	Arkansas, Louisiana",4,45,7
Utah,"Nevada, New Mexico, Wyoming, Arizona, Colorado, Idaho",6,46,8
Vermont,"New Hampshire, New York, Massachusetts",3,47,1
Virginia,"North Carolina, Tennessee, West Virginia, Kentucky, Maryland",5,48,5
Washington,"Oregon, Idaho",2,49,8
West Virginia,"Pennsylvania, Virginia,   Kentucky, Maryland, Ohio",5,50,5
Wisconsin,"Michigan, Minnesota, Illinois, Iowa",4,51,3
Wyoming,"Nebraska, South Dakota, Utah, Colorado, Idaho, Montana",6,52,8
